Rise,RISE,https://github.com/RiseVision/rise-node/graphs/commit-activity,743,31 contributors
Distributed,DCC,https://github.com/DistributedBanking/DCC/graphs/commit-activity,737,14 contributors
Scorum,SCR,https://github.com/Scorum/Scorum/graphs/commit-activity,727,40 contributors
Neblio,NEBL,https://github.com/NeblioTeam/neblio/graphs/commit-activity,722,11 contributors
Steem,STEEM,https://github.com/steemit/steem/graphs/commit-activity,707,61 contributors
Steem,SBD,https://github.com/steemit/steem/graphs/commit-activity,707,61 contributors
IoTeX,IOTX,/graphs/commit-activity,702,19 contributors
Trinity,TNC,/graphs/commit-activity,694,6 contributors
Zcash,ZEC,https://github.com/zcash/zcash/graphs/commit-activity,675,+100 contributors
Pascal,PASC,https://github.com/PascalCoin/PascalCoin/graphs/commit-activity,675,10 contributors
Spectrecoin,XSPEC,https://github.com/spectrecoin/spectre/graphs/commit-activity,661,9 contributors
uPlexa,UPX,https://github.com/uPlexa/uplexa/graphs/commit-activity,650,+100 contributors
DasCoin,DASC,/graphs/commit-activity,622,20 contributors
VoteCoin,VOT,https://github.com/Tomas-M/VoteCoin/graphs/commit-activity,608,+100 contributors
Linda,LINDA,https://github.com/TheLindaProjectInc/Linda/graphs/commit-activity,600,5 contributors
Stakenet,XSN,https://github.com/X9Developers/XSN/graphs/commit-activity,596,+100 contributors
Siacoin,SC,https://github.com/NebulousLabs/Sia/graphs/commit-activity,593,50 contributors
Golos,GOLOS,https://github.com/GolosChain/golos/graphs/commit-activity,578,37 contributors
Aphelion,APH,/graphs/commit-activity,575,8 contributors
Syndicate,SYNX,https://github.com/SyndicateLtd/SyndicateQT/graphs/commit-activity,575,+100 contributors
sUSD,SUSD,https://github.com/Havven/havven/graphs/commit-activity,544,12 contributors
POPCHAIN,PCH,/graphs/commit-activity,520,14 contributors
Binance,BNB,https://github.com/bnb2dev//graphs/commit-activity,516,+100 contributors
Quantum,QRL,https://github.com/theQRL/QRL/graphs/commit-activity,512,27 contributors
Apollo,APL,/graphs/commit-activity,505,8 contributors
ION,ION,https://github.com/ionomy/ion/graphs/commit-activity,504,23 contributors
IOTA,MIOTA,https://github.com/iotaledger/iri/graphs/commit-activity,496,46 contributors
Amoveo,VEO,https://github.com/zack-bitcoin/amoveo/graphs/commit-activity,495,48 contributors
Dash,DASH,https://github.com/dashpay/dash/graphs/commit-activity,494,+100 contributors
Litecoin,LCC,/graphs/commit-activity,492,+100 contributors
Loopring,LRN,/graphs/commit-activity,486,12 contributors
NKN,NKN,/graphs/commit-activity,480,26 contributors
Ravencoin,RVN,https://github.com/RavenProject/Ravencoin/graphs/commit-activity,464,+100 contributors
Stellar,XLM,https://github.com/stellar/stellar-core/graphs/commit-activity,459,56 contributors
DAOstack,GEN,/graphs/commit-activity,457,21 contributors
Asch,XAS,https://github.com/AschPlatform/asch/graphs/commit-activity,456,15 contributors
Bridge,TOLL,/graphs/commit-activity,447,46 contributors
ThingsOperatingSystem,TOS,https://github.com/TOSIO/tos/graphs/commit-activity,445,33 contributors
Bulwark,BWK,https://github.com/bulwark-crypto/Bulwark/graphs/commit-activity,437,17 contributors
PIVX,PIVX,https://github.com/PIVX-Project/PIVX/graphs/commit-activity,427,+100 contributors
Decred,DCR,https://github.com/decred/dcrd/graphs/commit-activity,422,98 contributors
Own,CHX,/graphs/commit-activity,417,7 contributors
Rupaya,RUPX,https://github.com/rupaya-project/rupx/graphs/commit-activity,410,+100 contributors
Zcoin,XZC,https://github.com/zcoinofficial/zcoin/graphs/commit-activity,406,29 contributors
Burst,BURST,https://github.com/PoC-Consortium/burstcoin/graphs/commit-activity,405,37 contributors
Crown,CRW,https://github.com/Crowndev/crowncoin/graphs/commit-activity,394,+100 contributors
VITE,VITE,/graphs/commit-activity,389,7 contributors
iExec,RLC,https://github.com/iExecBlockchainComputing/xtremweb-hep/graphs/commit-activity,382,6 contributors
Basic,BAT,https://github.com/brave/browser-laptop/graphs/commit-activity,375,+100 contributors
Pirl,PIRL,https://github.com/pirl/pirl/graphs/commit-activity,373,6 contributors
Nexus,NXS,https://github.com/Nexusoft/Nexus/graphs/commit-activity,365,17 contributors
Phore,PHR,https://github.com/phoreproject/Phore/graphs/commit-activity,361,+100 contributors
NEXT,NET,https://github.com/nimiq-network/core/graphs/commit-activity,358,34 contributors
DarexTravel,DART,https://github.com/DarexTravel/MyCrypto/graphs/commit-activity,356,51 contributors
Iconic,ICON,https://github.com/icon-project/loopchain/graphs/commit-activity,353,10 contributors
Aeon,AEON,https://github.com/aeonix/aeon/graphs/commit-activity,351,+100 contributors
Wagerr,WGR,https://github.com/wagerr/wagerr/graphs/commit-activity,341,14 contributors
Graft,GRFT,/graphs/commit-activity,338,+100 contributors
Excaliburcoin,EXC,/graphs/commit-activity,335,4 contributors
Request,REQ,https://github.com/RequestNetwork/requestNetwork.js/graphs/commit-activity,334,13 contributors
