address,smart_contract_type,balance,address_annotation
0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,Wallet,10868.650308762491,"Exchange, Coinbene, Exchange Wallet"
0xaa7427d8f17d87a28f5e1ba3adbb270badbe1011,Token,10539.793886861142,WrapperLockEth
0x9ea7ba960a2668df52ee0389c4617d48853b7006,Multisig,10421.86699795298,MultiSigWallet
0xb3aaaae47070264f3595c5032ee94b620a583a39,Wallet,10191.247836438148,"mew phishing scam, Scam"
0x7891b20c690605f4e370d6944c8a5dbfac5a451c,Wallet,10156.8288589535,"LATOKEN, cold wallet ETH, Exchange, LATOKEN, cold wallet, Exchange, CEX, Exchange Wallet"
0x04c62019ab478bff5874e7b7d9bc84fcf7e30025,Multisig,10146.00299999999,"POANetwork_MultiSig, MultiSigWallet"
0x02dc3b8ab87c562cdce707647bd1ba21c390faf4,Multisig,10100.331974219427,Maecenas_MultiSig
0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,Wallet,9602.542605633591,"Miner, SparkPool"
0x1706024467ef8c9c4648da6fc35f2c995ac79cf6,Wallet,9416.273894593662,Hero_Wallet
0x1ab1511fed6c6a387d9adb9c5e60e4fb85f69c72,Multisig,9303.197143470006,MultiSigWalletWithDailyLimit
0x4b60b53a6edcd75f0730ecc22579df2079f210b0,Wallet,9273.497388592736,DMarket_Wallet
0xd4dcd2459bb78d7a645aa7e196857d421b10d93f,Wallet,8750.431231840284,"Exchange, BigONE_1, Exchange Wallet, BigONE_HOT"
0x01d5d0108589f3c52fcce6e65503bb6515e66698,Smart Contract,8622.595537192046,DcorpProxy
0xc9222be1574a509f258740c739f8a051f6e738bd,Multisig,8389.361943615457,MultiSigWalletWithDailyLimit
0xac5956be81d94a5d1bc2d07a4e7639f9f8b3d416,Multisig,7851.041671177,MultiSigWalletWithDailyLimit
0xbc270e1095403ba700e537cad46c3fabce5a7270,Multisig,7777.0499999999965,MultiSigWalletWithDailyLimit
0xb674cac98f179f2caf34d5cd37cf0a7f46690984,Multisig,7663.674524949751,MultiSigWalletWithDailyLimit
0xb4e23d717ed13345498f100c9eacbb256916ae1a,Multisig,7600.125621076683,"SentinelProtocol_MultiSig, MultiSigWalletWithDailyLimit"
0x7cc35e344c0c686de0265e35d4cfa18f2945e300,Multisig,7574.387373572337,MultiSigWalletWithDailyLimit
0xb2930b35844a230f00e51431acae96fe543a0347,Wallet,7248.977601476736,"MiningPoolHub_1, Mining"
0x09cabec1ead1c0ba254b09efb3ee13841712be14,DEX,7195.274619751424,Uniswap DAI Pool
0xdb0e7d784d6a7ca2cbda6ce26ac3b1bd348c06f8,Smart Contract,6925.0,Parity Bug
0x91b9d2835ad914bc1dcfe09bd1816febd04fd689,Smart Contract,6767.699071000014,"CappedVault, GodsUnchained_CappedVault, Gods Unchained"
0x3613ef1125a078ef96ffc898c4ec28d73c5b8c52,Wallet,6708.065321497751,Tidex
0x45fde77ff768aa83df468fb1c6ebc5f2bb21dcea,Multisig,6691.259788371302,Cindicator_MultiSig
0xb726da4fbdc3e4dbda97bb20998cf899b0e727e0,Multisig,6516.276850933025,"Exchange, Cobinhood_2, Exchange Wallet"
0xc503ff6074498000ec4a7375730e6cf13010cf3b,Multisig,5881.089180000001,MultiSigWalletWithDailyLimit
0x829bd824b016326a401d083b33d092293333a830,Wallet,5876.3047604416915,"Miner, Mining, F2Pool_2"
0xa7a7899d944fe658c4b0a1803bab2f490bd3849e,Wallet,5656.967235340877,"Dex, IDEX_2, DEX"
0x847c590d780913b394290295a26ea172e12ffbf1,Multisig,5457.040499999999,MultiSigWalletWithDailyLimit
0x7bb187351421c3affda57c7a5132e304f73167c8,Multisig,5313.154699232222,"MultiSigWallet, ICO Wallets, Atonomi_MultiSig"
0x8615f13c12c24dfdca0ba32511e2861be02b93b2,Wallet,5235.844756667778,Melon_Wallet
0x815bde5591933ad1b025b6a34462d7ec02c71710,Multisig,5200.100562312113,MultiSigWallet
0x27218c41e1054dc0484acd2ad35def0ffd17782a,Smart Contract,5146.589497996445,LifMarketValidationMechanism
0xba826fec90cefdf6706858e5fbafcb27a290fbe0,Wallet,5003.4287160858,"Upbit, Exchange Wallet"
0x88e343f4599292c2cffe683c1bb93cd3480bdbab,Wallet,5000.1010000000015,PXN_COLD
0xd5524179cb7ae012f5b642c1d6d700bbaa76b96b,Smart Contract,4890.840202010767,Delegator
0x49eafa4c392819c009eccdc8d851b4e3c2dda7d0,Smart Contract,4524.983603998438,Parity Bug
0x2b3b67c6dffc2bcdda2315491eac9bbe868fbcdd,Wallet,4500.5795038497445,OAX_Wallet
